,AdjClose,Close,Date,High,Low,Open,Volume
5101,"2,206.50","2,206.50","Feb 28, 1996","2,206.50","2,206.50","2,206.50",0
5102,"2,199.60","2,199.60","Feb 27, 1996","2,199.60","2,199.60","2,199.60",0
5103,"2,206.10","2,206.10","Feb 26, 1996","2,206.10","2,206.10","2,206.10",0
5104,"2,203.30","2,203.30","Feb 23, 1996","2,203.30","2,203.30","2,203.30",0
5105,"2,195.40","2,195.40","Feb 22, 1996","2,195.40","2,195.40","2,195.40",0
5106,"2,178.90","2,178.90","Feb 21, 1996","2,178.90","2,178.90","2,178.90",0
5107,"2,182.90","2,182.90","Feb 20, 1996","2,182.90","2,182.90","2,182.90",0
5108,"2,204.70","2,204.70","Feb 19, 1996","2,204.70","2,204.70","2,204.70",0
5109,"2,236.90","2,236.90","Feb 16, 1996","2,236.90","2,236.90","2,236.90",0
5110,"2,238.20","2,238.20","Feb 15, 1996","2,238.20","2,238.20","2,238.20",0
5111,"2,240.40","2,240.40","Feb 14, 1996","2,240.40","2,240.40","2,240.40",0
5112,"2,229.80","2,229.80","Feb 13, 1996","2,229.80","2,229.80","2,229.80",0
5113,"2,202.00","2,202.00","Feb 12, 1996","2,202.00","2,202.00","2,202.00",0
5114,"2,210.50","2,210.50","Feb 9, 1996","2,210.50","2,210.50","2,210.50",0
5115,"2,215.70","2,215.70","Feb 8, 1996","2,215.70","2,215.70","2,215.70",0
5116,"2,212.20","2,212.20","Feb 7, 1996","2,212.20","2,212.20","2,212.20",0
5117,"2,208.80","2,208.80","Feb 6, 1996","2,208.80","2,208.80","2,208.80",0
5118,"2,210.50","2,210.50","Feb 5, 1996","2,210.50","2,210.50","2,210.50",0
5119,"2,231.40","2,231.40","Feb 2, 1996","2,231.40","2,231.40","2,231.40",0
5120,"2,224.40","2,224.40","Feb 1, 1996","2,224.40","2,224.40","2,224.40",0
5121,"2,227.80","2,227.80","Jan 31, 1996","2,227.80","2,227.80","2,227.80",0
5122,"2,205.40","2,205.40","Jan 30, 1996","2,205.40","2,205.40","2,205.40",0
5123,"2,217.80","2,217.80","Jan 29, 1996","2,217.80","2,217.80","2,217.80",0
5124,"2,193.20","2,193.20","Jan 25, 1996","2,193.20","2,193.20","2,193.20",0
5125,"2,174.30","2,174.30","Jan 24, 1996","2,174.30","2,174.30","2,174.30",0
5126,"2,185.80","2,185.80","Jan 23, 1996","2,185.80","2,185.80","2,185.80",0
5127,"2,202.10","2,202.10","Jan 22, 1996","2,202.10","2,202.10","2,202.10",0
5128,"2,189.20","2,189.20","Jan 19, 1996","2,189.20","2,189.20","2,189.20",0
