,AdjClose,Close,Date,High,Low,Open,Volume
2424,"14,648.41","14,648.41","Jun 20, 2006","14,845.71","14,621.87","14,811.11","91,800"
2425,"14,860.35","14,860.35","Jun 19, 2006","14,918.60","14,772.14","14,815.86","86,400"
2426,"14,879.34","14,879.34","Jun 16, 2006","14,976.67","14,679.35","14,679.35","130,200"
2427,"14,470.76","14,470.76","Jun 15, 2006","14,593.85","14,417.70","14,453.33","112,600"
2428,"14,309.56","14,309.56","Jun 14, 2006","14,458.82","14,045.53","14,084.52","146,000"
2429,"14,218.60","14,218.60","Jun 13, 2006","14,658.23","14,218.60","14,650.59","118,600"
2430,"14,833.01","14,833.01","Jun 12, 2006","14,845.04","14,580.87","14,685.46","116,000"
2431,"14,750.84","14,750.84","Jun 9, 2006","14,825.48","14,389.31","14,530.50","219,200"
2432,"14,633.03","14,633.03","Jun 8, 2006","14,990.04","14,496.96","14,990.04","171,400"
2433,"15,096.01","15,096.01","Jun 7, 2006","15,433.29","15,095.15","15,285.05","122,200"
2434,"15,384.86","15,384.86","Jun 6, 2006","15,507.78","15,340.93","15,500.92","96,200"
2435,"15,668.31","15,668.31","Jun 5, 2006","15,784.95","15,622.75","15,719.31","89,600"
2436,"15,789.31","15,789.31","Jun 2, 2006","15,789.31","15,266.97","15,600.28","141,200"
2437,"15,503.74","15,503.74","Jun 1, 2006","15,655.00","15,417.51","15,603.25","102,600"
2438,"15,467.33","15,467.33","May 31, 2006","15,660.87","15,442.53","15,660.87","114,400"
2439,"15,859.45","15,859.45","May 30, 2006","15,937.91","15,814.83","15,920.79","86,400"
2440,"15,915.68","15,915.68","May 29, 2006","16,111.54","15,885.07","16,111.54","96,800"
2441,"15,970.76","15,970.76","May 26, 2006","15,970.76","15,819.32","15,827.87","102,000"
2442,"15,693.75","15,693.75","May 25, 2006","15,849.23","15,644.62","15,809.33","104,600"
2443,"15,907.20","15,907.20","May 24, 2006","15,907.20","15,508.51","15,676.64","136,200"
2444,"15,599.20","15,599.20","May 23, 2006","15,776.20","15,582.86","15,722.05","137,200"
2445,"15,857.87","15,857.87","May 22, 2006","16,268.51","15,837.26","16,254.56","126,400"
2446,"16,155.45","16,155.45","May 19, 2006","16,166.34","15,925.69","16,041.18","125,000"
2447,"16,087.18","16,087.18","May 18, 2006","16,139.14","15,914.39","16,089.25","131,800"
2448,"16,307.67","16,307.67","May 17, 2006","16,319.30","16,033.66","16,259.02","147,800"
