,AdjClose,Close,Date,High,Low,Open,Volume
5501,458.67,458.67,"Jun 10, 1994",459.48,457.36,457.86,"222,480,000"
5502,457.86,457.86,"Jun 9, 1994",457.87,455.86,457.06,"252,870,000"
5503,457.06,457.06,"Jun 8, 1994",459.74,455.43,458.21,"256,000,000"
5504,458.21,458.21,"Jun 7, 1994",459.46,457.65,458.88,"234,680,000"
5505,458.88,458.88,"Jun 6, 1994",461.87,458.85,460.13,"259,080,000"
5506,460.13,460.13,"Jun 3, 1994",460.86,456.27,457.65,"271,490,000"
5507,457.65,457.65,"Jun 2, 1994",458.50,457.26,457.62,"271,630,000"
5508,457.63,457.63,"Jun 1, 1994",458.29,453.99,456.50,"279,910,000"
5509,456.50,456.50,"May 31, 1994",457.61,455.16,457.32,"216,700,000"
5510,457.33,457.33,"May 27, 1994",457.33,454.67,457.03,"186,430,000"
5511,457.06,457.06,"May 26, 1994",457.77,455.79,456.33,"255,740,000"
5512,456.34,456.34,"May 25, 1994",456.34,452.20,454.84,"254,420,000"
5513,454.81,454.81,"May 24, 1994",456.77,453.21,453.21,"280,040,000"
5514,453.20,453.20,"May 23, 1994",454.92,451.79,454.92,"249,420,000"
5515,454.92,454.92,"May 20, 1994",456.48,454.22,456.48,"295,180,000"
5516,456.48,456.48,"May 19, 1994",456.88,453.00,453.69,"303,680,000"
5517,453.69,453.69,"May 18, 1994",454.45,448.87,449.39,"337,670,000"
5518,449.37,449.37,"May 17, 1994",449.37,443.70,444.49,"311,280,000"
5519,444.49,444.49,"May 16, 1994",445.82,443.62,444.15,"234,700,000"
5520,444.14,444.14,"May 13, 1994",444.72,441.21,443.62,"252,070,000"
5521,443.75,443.75,"May 12, 1994",444.80,441.50,441.50,"272,770,000"
5522,441.49,441.49,"May 11, 1994",446.03,440.78,446.03,"277,400,000"
5523,446.01,446.01,"May 10, 1994",446.84,442.37,442.37,"297,660,000"
5524,442.32,442.32,"May 9, 1994",447.82,441.84,447.82,"250,870,000"
5525,447.82,447.82,"May 6, 1994",451.37,445.64,451.37,"291,910,000"
5526,451.38,451.38,"May 5, 1994",452.82,450.72,451.72,"255,690,000"
5527,451.72,451.72,"May 4, 1994",453.11,449.87,453.04,"267,940,000"
5528,453.03,453.03,"May 3, 1994",453.98,450.51,453.06,"288,270,000"
5529,453.02,453.02,"May 2, 1994",453.57,449.05,450.91,"296,130,000"
5530,450.91,450.91,"Apr 29, 1994",451.35,447.91,449.07,"293,970,000"
5531,449.10,449.10,"Apr 28, 1994",452.23,447.97,451.84,"325,200,000"
5532,451.87,451.87,"Apr 26, 1994",452.79,450.66,452.71,"288,120,000"
5533,452.71,452.71,"Apr 25, 1994",452.71,447.58,447.64,"262,320,000"
5534,447.63,447.63,"Apr 22, 1994",449.96,447.16,448.73,"295,710,000"
5535,448.73,448.73,"Apr 21, 1994",449.14,441.96,441.96,"378,770,000"
5536,441.96,441.96,"Apr 20, 1994",445.01,439.40,442.54,"366,540,000"
5537,442.54,442.54,"Apr 19, 1994",444.82,438.83,442.54,"323,280,000"
5538,442.46,442.46,"Apr 18, 1994",447.87,441.48,446.27,"271,470,000"
5539,446.18,446.18,"Apr 15, 1994",447.85,445.81,446.38,"309,550,000"
5540,446.38,446.38,"Apr 14, 1994",447.55,443.57,446.26,"275,130,000"
5541,446.26,446.26,"Apr 13, 1994",448.57,442.62,447.63,"278,030,000"
5542,447.57,447.57,"Apr 12, 1994",450.80,447.33,449.83,"257,990,000"
5543,449.87,449.87,"Apr 11, 1994",450.34,447.10,447.12,"243,180,000"
5544,447.10,447.10,"Apr 8, 1994",450.89,445.51,450.89,"264,090,000"
5545,450.88,450.88,"Apr 7, 1994",451.10,446.38,448.11,"289,280,000"
5546,448.05,448.05,"Apr 6, 1994",449.63,444.98,448.29,"302,000,000"
5547,448.29,448.29,"Apr 5, 1994",448.29,439.14,439.14,"365,990,000"
5548,438.92,438.92,"Apr 4, 1994",445.66,435.86,445.66,"344,390,000"
5549,445.77,445.77,"Mar 31, 1994",447.16,436.16,445.55,"403,580,000"
5550,445.55,445.55,"Mar 30, 1994",452.49,445.55,452.48,"390,520,000"
5551,452.48,452.48,"Mar 29, 1994",460.32,452.43,460.00,"305,360,000"
5552,460.00,460.00,"Mar 28, 1994",461.12,456.10,460.58,"287,350,000"
5553,460.58,460.58,"Mar 25, 1994",465.29,460.58,464.35,"249,640,000"
5554,464.35,464.35,"Mar 24, 1994",468.57,462.41,468.57,"303,740,000"
5555,468.54,468.54,"Mar 23, 1994",470.38,468.52,468.89,"281,500,000"
5556,468.80,468.80,"Mar 22, 1994",470.47,467.88,468.40,"282,240,000"
5557,468.54,468.54,"Mar 21, 1994",471.06,467.23,471.06,"247,380,000"
5558,471.06,471.06,"Mar 18, 1994",471.09,467.83,470.89,"462,240,000"
5559,470.90,470.90,"Mar 17, 1994",471.05,468.62,469.42,"303,930,000"
5560,469.42,469.42,"Mar 16, 1994",469.85,465.48,467.04,"307,640,000"
5561,467.01,467.01,"Mar 15, 1994",468.99,466.04,467.39,"303,750,000"
5562,467.39,467.39,"Mar 14, 1994",467.60,466.08,466.44,"260,150,000"
5563,466.44,466.44,"Mar 11, 1994",466.61,462.54,463.86,"303,890,000"
5564,463.90,463.90,"Mar 10, 1994",467.29,462.46,467.08,"369,370,000"
5565,467.06,467.06,"Mar 9, 1994",467.42,463.40,465.94,"309,810,000"
5566,465.88,465.88,"Mar 8, 1994",467.79,465.02,466.92,"298,110,000"
5567,466.91,466.91,"Mar 7, 1994",468.07,464.74,464.74,"285,590,000"
